GENE	HGNC_ID	ENTREZ_ID
AARS	HGNC:20	16
ABCE1	HGNC:69	6059
ABCF1	HGNC:70	23
ACTB	HGNC:132	60
ACTL6A	HGNC:24124	86
ACTR10	HGNC:17372	55860
ACTR2	HGNC:169	10097
ADSL	HGNC:291	158
ADSS	HGNC:292	159
AHCY	HGNC:343	191
ALG1	HGNC:18294	56052
ALG14	HGNC:28287	199857
ALG2	HGNC:23159	85365
ANAPC2	HGNC:19989	29882
ANAPC4	HGNC:19990	29945
ANAPC5	HGNC:15713	51433
AQR	HGNC:29513	9716
ARCN1	HGNC:649	372
ARIH1	HGNC:689	25820
ARL2	HGNC:693	402
ATP2A2	HGNC:812	488
ATP5F1A	HGNC:823	498
ATP5F1B	HGNC:830	506
ATP5F1C	HGNC:833	509
ATP5F1D	HGNC:837	513
ATP5J2-PTCD1	NA	
ATP5MG	HGNC:14247	10632
ATP5PO	HGNC:850	539
ATP6V0B	HGNC:861	533
ATP6V0C	HGNC:855	527
ATP6V1A	HGNC:851	523
ATP6V1D	HGNC:13527	51382
ATP6V1E1	HGNC:857	529
ATR	HGNC:882	545
AURKB	HGNC:11390	9212
BANF1	HGNC:17397	8815
BIRC5	HGNC:593	332
BUB1B	HGNC:1149	701
BUB3	HGNC:1151	9184
BUD31	HGNC:29629	8896
BYSL	HGNC:1157	705
TWNK	HGNC:1160	56652
C1orf109	HGNC:26039	54955
CFAP298	HGNC:1301	56683
NEPRO	HGNC:24496	25871
SPOUT1	HGNC:26933	51490
CCDC84	HGNC:30460	338657
YJU2	HGNC:25518	55702
CCNA2	HGNC:1578	890
CCNH	HGNC:1594	902
CCNK	HGNC:1596	8812
CCT2	HGNC:1615	10576
CCT3	HGNC:1616	7203
CCT4	HGNC:1617	10575
CCT5	HGNC:1618	22948
CCT6A	HGNC:1620	908
CCT7	HGNC:1622	10574
CCT8	HGNC:1623	10694
CDC123	HGNC:16827	8872
CDC16	HGNC:1720	8881
CDC20	HGNC:1723	991
CDC27	HGNC:1728	996
CDC37	HGNC:1735	11140
CDC5L	HGNC:1743	988
CDC73	HGNC:16783	79577
CDK1	HGNC:1722	983
CDK7	HGNC:1778	1022
CDK9	HGNC:1780	1025
CDT1	HGNC:24576	81620
CEBPZ	HGNC:24218	10153
CENPA	HGNC:1851	1058
CENPC	NA	
CFL1	HGNC:1874	1072
CHAF1A	HGNC:1910	10036
CHAF1B	HGNC:1911	8208
CHEK1	HGNC:1925	1111
CHERP	HGNC:16930	10523
CHMP2A	HGNC:30216	27243
CHMP6	HGNC:25675	79643
CIAO1	HGNC:14280	9391
CINP	HGNC:23789	51550
UTP4	HGNC:1983	84916
CKAP5	HGNC:28959	9793
CLNS1A	HGNC:2080	1207
CLP1	HGNC:16999	10978
CLTC	HGNC:2092	1213
CMPK1	HGNC:18170	51727
CMTR1	NA	
CNOT3	HGNC:7879	4849
COA5	HGNC:33848	493753
COPA	HGNC:2230	1314
COPB1	HGNC:2231	1315
COPB2	HGNC:2232	9276
COPS3	HGNC:2239	8533
COPS6	HGNC:21749	10980
COPZ1	HGNC:2243	22818
COQ4	HGNC:19693	51117
COX10	HGNC:2260	1352
COX11	HGNC:2261	1353
COX15	HGNC:2263	1355
COX4I1	HGNC:2265	1327
COX5B	HGNC:2269	1329
COX6B1	HGNC:2280	1340
CPSF1	HGNC:2324	29894
CPSF2	HGNC:2325	53981
CPSF3	HGNC:2326	51692
CPSF4	HGNC:2327	10898
CRNKL1	HGNC:15762	51340
CSE1L	HGNC:2431	1434
CTDP1	HGNC:2498	9150
CTPS1	HGNC:2519	1503
CTR9	HGNC:16850	9646
CYCS	HGNC:19986	54205
DAD1	HGNC:2664	1603
DBR1	HGNC:15594	51163
DCTN5	HGNC:24594	84516
DDB1	HGNC:2717	1642
DDOST	HGNC:2728	1650
DDX10	HGNC:2735	1662
DDX18	HGNC:2741	8886
DDX20	HGNC:2743	11218
DDX21	HGNC:2744	9188
DDX27	HGNC:15837	55661
DDX41	HGNC:18674	51428
DDX47	HGNC:18682	51202
DDX49	HGNC:18684	54555
DDX55	HGNC:20085	57696
DDX56	HGNC:18193	54606
DGCR8	HGNC:2847	54487
DHODH	HGNC:2867	1723
DHPS	HGNC:2869	1725
DHX15	HGNC:2738	1665
DHX33	HGNC:16718	56919
DHX37	HGNC:17210	57647
DHX8	HGNC:2749	1659
DHX9	HGNC:2750	1660
